tool type,id,site,specimen,area,use-wear type
Keilmesser,1,Buhlen,BU-090,A1,A
Keilmesser,1,Buhlen,BU-093,B1,A
Keilmesser,1,Buhlen,BU-097,B1,A
Keilmesser,1,Buhlen,BU-004,A2,A
Keilmesser,1,Buhlen,BU-004,A3,A
Keilmesser,1,Buhlen,BU-006,D1,A
Keilmesser,1,Buhlen,BU-024,D3,A
Keilmesser,1,Buhlen,BU-028,A2,A
Keilmesser,1,Buhlen,BU-040,A3,A
Keilmesser,1,Buhlen,BU-051,B2,A
Keilmesser,1,Buhlen,BU-054,B3,A
Keilmesser,1,Buhlen,BU-058,B3,A
Keilmesser,1,Buhlen,BU-066,B3,A
Keilmesser,1,Buhlen,BU-066,B3,A
Keilmesser,1,Buhlen,BU-066,D3,A
Keilmesser,1,Buhlen,BU-078,C3,A
Keilmesser,1,Buhlen,BU-163,D3,A
Keilmesser,1,Balve,MU-003,B1,A
Keilmesser,2,Balve,MU-003,B1,A
Keilmesser,1,Balve,MU-003,B2,A
Keilmesser,1,Balve,MU-003,B3,A
Keilmesser,1,Balve,MU-023,D2,A
Keilmesser,1,Balve,MU-100,B2,A
Keilmesser,1,Balve,MU-100,D3,A
Keilmesser,1,Balve,MU-109,B3,A
Keilmesser,1,Balve,MU-199,A1,A
Keilmesser,1,Balve,MU-202,C2,A
Keilmesser,1,Balve,MU-202,A2,A
Keilmesser,1,Balve,MU-210,B1,A
Keilmesser,1,Balve,MU-210,C2,A
Keilmesser,1,Balve,MU-210,B1,A
Keilmesser,1,Balve,MU-231,A1,A
Keilmesser,2,Balve,MU-232,B2,A
Keilmesser,1,Balve,MU-240,C2,A
Keilmesser,1,Balve,MU-273,B1,A
Keilmesser,1,Balve,MU-280,A3,A
Keilmesser,1,Balve,MU-283,D1,A
Keilmesser,1,Balve,MU-293,D2,A
Keilmesser,1,Ramioul,R-019,D2,B
Keilmesser,1,Ramioul,R-020,B1,B
Keilmesser,1,Ramioul,R-020,B2,B
Keilmesser,1,Balve,MU-003,D1,B
Keilmesser,1,Balve,MU-021,C3,B
Keilmesser,2,Balve,MU-023,D2,B
Keilmesser,1,Balve,MU-044,D3,B
Keilmesser,1,Balve,MU-063,B1,B
Keilmesser,1,Balve,MU-073,D1,B
Keilmesser,1,Balve,MU-1114,B3,B
Keilmesser,1,Balve,MU-114,D3,B
Keilmesser,2,Balve,MU-114,B3,B
Keilmesser,1,Balve,MU-202,B1,B
Keilmesser,2,Balve,MU-210,D1,B
Keilmesser,1,Balve,MU-230,A2,B
Keilmesser,1,Balve,MU-230,D2,B
Keilmesser,1,Balve,MU-283,A2,B
Keilmesser,1,Balve,MU-283,B2,B
Keilmesser,1,Balve,MU-288,D2,B
Keilmesser,1,Balve,MU-224,D1,B2
Keilmesser,1,Balve,MU-234,B3,B2
Keilmesser,3,Ramioul,R-008,D1,C
Keilmesser,2,Ramioul,R-018,D1,C
Keilmesser,1,Buhlen,BU-085,C2,C
Keilmesser,1,Buhlen,BU-086,B1,C
Keilmesser,1,Buhlen,BU-086,D1,C
Keilmesser,2,Buhlen,BU-086,D1,C
Keilmesser,1,Buhlen,BU-087,B3,C
Keilmesser,1,Buhlen,BU-087,A3,C
Keilmesser,1,Buhlen,BU-087,C1,C
Keilmesser,1,Buhlen,BU-088,D1,C
Keilmesser,1,Buhlen,BU-003,D1,C
Keilmesser,2,Buhlen,BU-003,D1,C
Keilmesser,1,Buhlen,BU-006,A2,C
Keilmesser,1,Buhlen,BU-009,B2,C
Keilmesser,1,Buhlen,BU-009,D1,C
Keilmesser,1,Buhlen,BU-012,B2,C
Keilmesser,1,Buhlen,BU-016,D1,C
Keilmesser,1,Buhlen,BU-017,C2,C
Keilmesser,1,Buhlen,BU-028,D2,C
Keilmesser,1,Buhlen,BU-032,B2,C
Keilmesser,1,Buhlen,BU-036,B2,C
Keilmesser,1,Buhlen,BU-036,D1,C
Keilmesser,1,Buhlen,BU-039,C1,C
Keilmesser,1,Buhlen,BU-040,B1,C
Keilmesser,1,Buhlen,BU-040,B3,C
Keilmesser,1,Buhlen,BU-046,D1,C
Keilmesser,1,Buhlen,BU-048,D2,C
Keilmesser,1,Buhlen,BU-056,B1,C
Keilmesser,1,Buhlen,BU-056,B2,C
Keilmesser,1,Buhlen,BU-056,B3,C
Keilmesser,1,Buhlen,BU-057,B3,C
Keilmesser,1,Buhlen,BU-060,B2,C
Keilmesser,1,Buhlen,BU-060,A2,C
Keilmesser,1,Buhlen,BU-060,D2,C
Keilmesser,1,Buhlen,BU-066,B1,C
Keilmesser,1,Buhlen,BU-066,B2,C
Keilmesser,2,Buhlen,BU-066,D3,C
Keilmesser,1,Buhlen,BU-069,B2,C
Keilmesser,1,Buhlen,BU-069,D1,C
Keilmesser,1,Buhlen,BU-074,D1,C
Keilmesser,1,Buhlen,BU-076,B1,C
Keilmesser,1,Buhlen,BU-076,D3,C
Keilmesser,1,Buhlen,BU-076,C1,C
Keilmesser,1,Buhlen,BU-078,D1,C
Keilmesser,2,Buhlen,BU-078,D1,C
Keilmesser,1,Buhlen,BU-078,B1,C
Keilmesser,1,Buhlen,BU-079,D1,C
Keilmesser,1,Buhlen,BU-160,D1,C
Keilmesser,1,Buhlen,BU-163,A3,C
Keilmesser,1,Buhlen,BU-163,D2,C
Keilmesser,1,Buhlen,BU-168,B2,C
Keilmesser,1,Buhlen,BU-158,D3,C
Keilmesser,1,Buhlen,BU-173,D2,C
Keilmesser,1,Buhlen,BU-174,B2,C
Keilmesser,1,Balve,MU-008,B2,C
Keilmesser,2,Balve,MU-008,B2,C
Keilmesser,1,Balve,MU-011,D1,C
Keilmesser,1,Balve,MU-061,D1,C
Keilmesser,1,Balve,MU-093,C3,C
Keilmesser,1,Balve,MU-107,B2,C
Keilmesser,1,Balve,MU-107,D2,C
Keilmesser,1,Balve,MU-111,D2,C
Keilmesser,1,Balve,MU-196,B1,C
Keilmesser,1,Balve,MU-196,D1,C
Keilmesser,2,Balve,MU-196,D1,C
Keilmesser,2,Balve,MU-197,D3,C
Keilmesser,1,Balve,MU-199,C3,C
Keilmesser,1,Balve,MU-202,C1,C
Keilmesser,1,Balve,MU-202,C2,C
Keilmesser,1,Balve,MU-210,C1,C
Keilmesser,1,Balve,MU-210,C3,C
Keilmesser,2,Balve,MU-214,C1,C
Keilmesser,1,Balve,MU-214,D1,C
Keilmesser,1,Balve,MU-214,C2,C
Keilmesser,1,Balve,MU-214,D2,C
Keilmesser,1,Balve,MU-224,B1,C
Keilmesser,1,Balve,MU-226,B2,C
Keilmesser,1,Balve,MU-226,D2,C
